year,price
2016-01-29,3000.0
2016-01-30,2829.0
2016-01-31,3000.0
2016-02-01,2599.0
2016-02-02,3000.0
2016-02-03,3194.0
2016-02-04,3100.0
2016-02-05,3000.0
2016-02-07,3000.0
2016-02-09,3200.5
2016-02-10,3140.0
2016-02-11,3204.0
2016-02-12,3000.0
2016-02-15,3220.0
2016-02-17,3000.0
2016-02-18,2750.0
2016-02-19,3810.0
2016-02-22,3010.0
2016-02-24,3000.0
2016-02-28,3000.0
2016-03-03,3100.0
2016-03-04,3000.0
2016-03-09,3000.0
2016-03-11,2815.0
2016-03-12,2732.0
2016-03-13,3000.0
2016-03-15,3000.0
2016-03-16,3220.0
2016-03-17,3250.0
2016-03-18,3000.0
2016-03-20,2750.0
2016-03-21,3000.0
2016-03-22,3000.0
2016-03-26,3000.0
2016-03-29,2980.0
2016-03-30,3000.0
2016-04-05,3000.0
2016-04-07,3000.0
2016-04-09,3000.0
2016-04-10,3000.0
2016-04-11,2780.0
2016-04-12,3000.0
2016-04-13,3000.0
2016-04-21,3392.5
2016-04-22,3000.0
2016-04-26,3000.0
2016-04-27,3755.0
2016-05-09,3000.0
2016-05-18,2800.0
2016-05-19,3300.0
2016-05-20,3000.0
2016-05-24,3000.0
2016-05-25,3000.0
2016-05-27,3000.0
2016-05-31,3000.0
2016-06-01,1400.0
2016-06-04,3000.0
2016-06-08,3000.0
2016-06-10,3000.0
2016-06-11,3440.0
2016-06-12,3000.0
2016-06-13,3750.0
2016-06-14,3000.0
2016-06-16,3000.0
2016-06-18,3000.0
2016-06-20,3000.0
2016-06-21,3000.0
2016-06-23,3508.0
2016-06-24,3223.3333333333335
2016-06-27,3153.3333333333335
2016-06-29,3000.0
2016-07-05,3426.0
2016-07-06,3000.0
2016-07-07,3000.0
2016-07-08,3000.0
2016-07-09,3000.0
2016-07-10,3000.0
2016-07-12,3000.0
2016-07-16,3000.0
2016-07-17,3000.0
2016-07-19,3000.0
2016-07-23,3000.0
2016-07-24,3000.0
2016-07-25,3000.0
2016-07-26,3000.0
2016-07-28,2943.3333333333335
2016-07-29,3455.0
2016-08-03,2920.0
2016-08-05,3000.0
2016-08-08,3425.0
2016-08-09,3000.0
2016-08-10,3000.0
2016-08-11,3000.0
2016-08-12,3000.0
2016-08-13,3000.0
2016-08-18,3000.0
2016-08-19,2907.5
2016-08-21,3000.0
2016-08-22,3000.0
2016-08-23,3150.0
2016-08-26,3062.5
2016-08-30,3000.0
2016-08-31,3000.0
2016-09-03,3050.0
2016-09-06,2550.0
2016-09-08,2820.0
2016-09-09,2950.0
2016-09-10,2701.0
2016-09-12,2700.0
2016-09-14,2925.0
2016-09-16,3000.0
2016-09-17,2877.5
2016-09-19,2850.0
2016-09-20,2750.0
2016-09-21,2718.3333333333335
2016-09-22,2575.0
2016-09-23,2790.0
2016-09-24,2790.0
2016-09-27,1770.0
2016-09-28,2605.0
2016-09-29,2434.0
2016-10-01,2450.0
2016-10-03,2400.0
2016-10-04,2625.0
2016-10-05,2665.0
2016-10-06,2681.25
2016-10-07,2650.0
2016-10-08,2700.0
2016-10-10,2900.0
2016-10-13,3000.0
2016-10-14,2758.75
2016-10-15,2900.0
2016-10-16,2850.0
2016-10-17,2504.4
2016-10-18,2563.125
2016-10-19,2464.285714285714
2016-10-20,2647.5
2016-10-21,2522.6363636363635
2016-10-22,2625.8333333333335
2016-10-23,2809.0
2016-10-24,2638.75
2016-10-25,2566.0714285714284
2016-10-26,2638.0
2016-10-27,2684.375
2016-10-28,2729.1666666666665
2016-10-29,2732.1428571428573
2016-10-30,2787.5
2016-10-31,2775.0
2016-11-01,2675.0
2016-11-02,2624.6666666666665
2016-11-03,2875.0
2016-11-04,2616.5555555555557
2016-11-05,2613.125
2016-11-06,2627.4
2016-11-07,2625.625
2016-11-08,2595.1666666666665
2016-11-09,2620.0
2016-11-10,2558.0
2016-11-11,2456.4285714285716
2016-11-12,2636.0
2016-11-13,2625.0
2016-11-14,2625.0
2016-11-15,2593.75
2016-11-16,2675.0
2016-11-17,2605.0
2016-11-18,2573.0
2016-11-19,2562.8
2016-11-20,2641.25
2016-11-21,2542.8333333333335
2016-11-22,2693.0
2016-11-23,2712.5
2016-11-24,2630.0
2016-11-25,2569.375
2016-11-26,2701.25
2016-11-27,2665.0
2016-11-28,2700.0
2016-11-29,2625.0
2016-11-30,2625.0
2016-12-01,2612.5
2016-12-02,2453.6666666666665
2016-12-03,2841.6666666666665
2016-12-04,2587.5
2016-12-05,2681.1666666666665
2016-12-06,2666.2
2016-12-07,2638.181818181818
2016-12-08,2674.25
2016-12-09,2669.875
2016-12-10,2636.6666666666665
2016-12-11,2612.5
2016-12-12,2587.5
