year,price
2016-05-25,10581.333333333334
2016-05-26,10674.8
2016-05-27,10952.75
2016-05-28,10675.0
2016-05-29,10250.0
2016-05-30,10271.75
2016-05-31,9534.333333333334
2016-06-01,10371.666666666666
2016-06-02,10463.25
2016-06-03,10399.2
2016-06-04,10452.0
2016-06-05,10850.0
2016-06-06,10398.166666666666
2016-06-07,10468.5
2016-06-08,8406.833333333334
2016-06-09,10406.333333333334
2016-06-10,10756.5
2016-06-11,10632.5
2016-06-12,9950.0
2016-06-13,10880.8
2016-06-14,11463.5
2016-06-15,11058.5
2016-06-16,11017.5
2016-06-17,10985.142857142857
2016-06-18,10609.0
2016-06-19,11250.0
2016-06-20,10900.714285714286
2016-06-21,10733.333333333334
2016-06-22,10584.333333333334
2016-06-23,10433.142857142857
2016-06-24,10599.444444444445
2016-06-25,10442.125
2016-06-27,9937.625
2016-06-28,10263.0
2016-06-29,10314.0
2016-06-30,10026.625
2016-07-01,10254.0
2016-07-02,9685.8
2016-07-03,11280.0
2016-07-04,9866.2
2016-07-05,10179.875
2016-07-06,9775.25
2016-07-07,11100.0
2016-07-08,11754.0
2016-07-09,9703.625
2016-07-10,11100.0
2016-07-11,9821.714285714286
2016-07-12,9240.2
2016-07-13,9339.5
2016-07-14,9237.666666666666
2016-07-15,9156.0
2016-07-16,8982.5
2016-07-18,9037.42857142857
2016-07-19,9552.833333333334
2016-07-20,9132.6875
2016-07-21,8383.5
2016-07-22,8820.833333333334
2016-07-23,8050.0
2016-07-25,7989.2
2016-07-26,8431.25
2016-07-27,8064.285714285715
2016-07-28,9509.42857142857
2016-07-29,8220.333333333334
2016-07-30,7416.666666666667
2016-07-31,9700.0
2016-08-01,8100.0
2016-08-02,9650.0
2016-08-03,8250.0
2016-08-04,8037.0
2016-08-05,7953.5
2016-08-06,8006.4
2016-08-08,8057.75
2016-08-09,7350.4
2016-08-10,8142.2
2016-08-11,8700.0
2016-08-12,8263.0
2016-08-13,8000.0
2016-08-16,7239.75
2016-08-17,8261.0
2016-08-19,7706.0
2016-08-20,7200.0
2016-08-22,7683.0
2016-08-23,7100.0
2016-08-24,7225.0
2016-08-25,7000.0
2016-08-26,7295.5
2016-08-27,6420.333333333333
2016-08-29,6690.2
2016-08-30,7125.25
2016-08-31,5971.333333333333
2016-09-01,6100.75
2016-09-02,6800.0
2016-09-03,6420.0
2016-09-05,7250.0
2016-09-06,6260.2
2016-09-07,6490.75
2016-09-08,6735.0
2016-09-09,6375.0
2016-09-10,6341.0
2016-09-12,6058.333333333333
2016-09-13,6856.0
2016-09-14,6661.0
2016-09-15,6787.0
2016-09-16,6749.833333333333
2016-09-17,6583.363636363636
2016-09-19,6493.416666666667
2016-09-20,6044.941176470588
2016-09-21,6035.607142857143
2016-09-22,6361.222222222223
2016-09-23,6536.275
2016-09-24,6920.84375
2016-09-25,6688.5
2016-09-26,7013.888888888889
2016-09-27,6796.818181818182
2016-09-28,6319.1875
2016-09-29,6044.833333333333
2016-09-30,6068.631578947368
2016-10-01,6158.3
2016-10-03,6671.733333333334
2016-10-04,6368.055555555556
2016-10-05,6644.136363636364
2016-10-06,6544.238095238095
2016-10-07,6627.95
2016-10-08,6458.454545454545
2016-10-09,6300.0
2016-10-10,6556.21875
2016-10-11,6271.6
2016-10-12,6261.921052631579
2016-10-13,6064.88
2016-10-14,5829.423076923077
2016-10-15,6003.0
2016-10-16,5650.0
2016-10-17,6145.26
2016-10-18,6319.92
2016-10-19,6439.264
2016-10-20,6468.571428571428
2016-10-21,6367.913043478261
2016-10-22,6195.12
2016-10-23,6200.0
2016-10-24,6113.979166666667
2016-10-25,6108.48
2016-10-26,6197.25
2016-10-27,6232.227272727273
2016-10-28,6143.875
2016-11-01,6100.0
2016-11-02,6071.134615384615
2016-11-03,6230.214285714285
2016-11-04,6004.103448275862
2016-11-05,6087.555555555556
2016-11-06,5918.5
2016-11-07,6031.346153846154
2016-11-08,5880.291666666667
2016-11-09,5650.428571428572
2016-11-10,5784.75
2016-11-11,5853.333333333333
2016-11-12,5780.5
2016-11-14,5660.5
2016-11-15,5735.3
2016-11-16,5815.916666666667
2016-11-17,6009.888888888889
2016-11-18,6077.7
2016-11-19,5767.0
2016-11-20,5979.5
2016-11-21,6004.058823529412
2016-11-22,6013.523809523809
2016-11-23,5950.075
2016-11-24,5936.25
2016-11-25,5950.9047619047615
2016-11-26,5932.473684210527
2016-11-27,5875.5
2016-11-28,6025.705882352941
2016-11-29,5926.52
2016-11-30,5820.5952380952385
2016-12-01,5897.12
2016-12-02,5915.05
2016-12-03,5783.5
2016-12-05,5606.173913043478
2016-12-06,5626.190476190476
2016-12-07,5481.863636363636
2016-12-08,5381.736842105263
2016-12-09,5391.023809523809
2016-12-10,5126.868421052632
2016-12-11,5556.5
2016-12-12,5183.764705882353
2016-12-13,5267.608695652174
2016-12-14,5300.642857142857
2016-12-15,5375.020833333333
2016-12-16,5265.152173913043
2016-12-17,5331.454545454545
2016-12-18,4888.0
2016-12-19,5292.875
2016-12-20,5258.775
2016-12-21,5422.619047619048
2016-12-22,5461.653846153846
2016-12-23,5487.4
2016-12-24,5519.6
